Word: time, Uniqueness Value: 1568
Word: reaction, Uniqueness Value: 120
Word: opportunity, Uniqueness Value: 120
Word: eye, Uniqueness Value: 119
Word: decision, Uniqueness Value: 119
Word: respect, Uniqueness Value: 119
Word: blood, Uniqueness Value: 119
Word: window, Uniqueness Value: 119
Word: nation, Uniqueness Value: 118
Word: labor, Uniqueness Value: 118
Word: trial, Uniqueness Value: 117
Word: image, Uniqueness Value: 117
Word: character, Uniqueness Value: 117
Word: volume, Uniqueness Value: 116
Word: responsibility, Uniqueness Value: 116
Word: plant, Uniqueness Value: 116
Word: earth, Uniqueness Value: 116
Word: religion, Uniqueness Value: 116
Word: audience, Uniqueness Value: 115
Word: report, Uniqueness Value: 114
Word: activity, Uniqueness Value: 114
Word: length, Uniqueness Value: 114
Word: quality, Uniqueness Value: 114
Word: court, Uniqueness Value: 113
Word: series, Uniqueness Value: 113
Word: corner, Uniqueness Value: 113
Word: increase, Uniqueness Value: 112
Word: horse, Uniqueness Value: 112
Word: student, Uniqueness Value: 112
Word: meaning, Uniqueness Value: 112
Word: plane, Uniqueness Value: 112
Word: influence, Uniqueness Value: 112
Word: pattern, Uniqueness Value: 112
Word: radio, Uniqueness Value: 111
Word: science, Uniqueness Value: 111
Word: farm, Uniqueness Value: 110
Word: extent, Uniqueness Value: 110
Word: step, Uniqueness Value: 109
Word: progress, Uniqueness Value: 108
Word: importance, Uniqueness Value: 108
Word: function, Uniqueness Value: 107
Word: distance, Uniqueness Value: 107
Word: language, Uniqueness Value: 107
Word: aj, Uniqueness Value: 106
Word: afternoon, Uniqueness Value: 106
Word: organization, Uniqueness Value: 106
Word: hall, Uniqueness Value: 106
Word: existence, Uniqueness Value: 106
Word: answer, Uniqueness Value: 106
Word: principle, Uniqueness Value: 106
Word: aid, Uniqueness Value: 105
Word: season, Uniqueness Value: 105
Word: design, Uniqueness Value: 105
Word: pool, Uniqueness Value: 105
Word: attitude, Uniqueness Value: 105
Word: charge, Uniqueness Value: 104
Word: operation, Uniqueness Value: 104
Word: choice, Uniqueness Value: 104
Word: role, Uniqueness Value: 104
Word: approach, Uniqueness Value: 104
Word: administration, Uniqueness Value: 103
Word: return, Uniqueness Value: 103
Word: spring, Uniqueness Value: 103
Word: mouth, Uniqueness Value: 103
Word: ball, Uniqueness Value: 103
Word: thought, Uniqueness Value: 103
Word: scene, Uniqueness Value: 102
Word: faith, Uniqueness Value: 102
Word: analysis, Uniqueness Value: 101
Word: sun, Uniqueness Value: 101
Word: price, Uniqueness Value: 101
Word: staff, Uniqueness Value: 100
Word: past, Uniqueness Value: 99
Word: gun, Uniqueness Value: 99
Word: hope, Uniqueness Value: 99
Word: will, Uniqueness Value: 99
Word: machine, Uniqueness Value: 98
Word: style, Uniqueness Value: 98
Word: date, Uniqueness Value: 97
Word: doubt, Uniqueness Value: 97
Word: unit, Uniqueness Value: 96
Word: lack, Uniqueness Value: 96
Word: look, Uniqueness Value: 96
Word: fear, Uniqueness Value: 96
Word: glass, Uniqueness Value: 96
Word: gas, Uniqueness Value: 95
Word: opinion, Uniqueness Value: 95
Word: income, Uniqueness Value: 95
Word: officer, Uniqueness Value: 95
Word: behavior, Uniqueness Value: 95
Word: radiation, Uniqueness Value: 95
Word: race, Uniqueness Value: 94
Word: test, Uniqueness Value: 94
Word: act, Uniqueness Value: 94
Word: building, Uniqueness Value: 94
Word: energy, Uniqueness Value: 94
Word: status, Uniqueness Value: 94
Word: bit, Uniqueness Value: 93
Word: help, Uniqueness Value: 93
Word: tradition, Uniqueness Value: 93
Word: station, Uniqueness Value: 92
Word: arm, Uniqueness Value: 92
Word: marriage, Uniqueness Value: 92
Word: construction, Uniqueness Value: 91
Word: leadership, Uniqueness Value: 91
Word: dinner, Uniqueness Value: 91
Word: weight, Uniqueness Value: 91
Word: film, Uniqueness Value: 91
Word: success, Uniqueness Value: 91
Word: source, Uniqueness Value: 90
Word: news, Uniqueness Value: 90
Word: university, Uniqueness Value: 90
Word: kitchen, Uniqueness Value: 90
Word: deal, Uniqueness Value: 90
Word: discussion, Uniqueness Value: 89
Word: heat, Uniqueness Value: 89
Word: health, Uniqueness Value: 88
Word: enemy, Uniqueness Value: 88
Word: play, Uniqueness Value: 88
Word: turn, Uniqueness Value: 88
Word: pain, Uniqueness Value: 88
Word: failure, Uniqueness Value: 87
Word: doctor, Uniqueness Value: 87
Word: structure, Uniqueness Value: 87
Word: relationship, Uniqueness Value: 87
Word: oil, Uniqueness Value: 87
Word: set, Uniqueness Value: 86
Word: clay, Uniqueness Value: 85
Word: sight, Uniqueness Value: 82
Word: neck, Uniqueness Value: 76
